pmid	annotator	subject_uri	subject_label	predicate	object_uri	object_label
35654142	expert_3	http://purl.obolibrary.org/obo/NCIT_C26845	DDF	target	http://purl.obolibrary.org/obo/NCIT_C45247	animal


32816830	expert_3	https://uts.nlm.nih.gov/uts/umls/concept/C0022104	DDF	target	https://uts.nlm.nih.gov/uts/umls/concept/C0027361	human
32816830	expert_3	https://uts.nlm.nih.gov/uts/umls/concept/C0022104	DDF	target	https://www.ncbi.nlm.nih.gov/mesh/68010361	human


30659564	expert_7	http://purl.obolibrary.org/obo/OHMI_0000463	microbiome	is linked to	http://purl.obolibrary.org/obo/NCIT_C124639	DDF
30659564	expert_7	http://purl.obolibrary.org/obo/OHMI_0000020	microbiome	is linked to	https://uts.nlm.nih.gov/uts/umls/concept/C0851377	DDF
30659564	expert_7	http://purl.obolibrary.org/obo/OHMI_0000020	microbiome	is linked to	http://purl.obolibrary.org/obo/NCIT_C3283	DDF
30659564	expert_7	http://purl.obolibrary.org/obo/OHMI_0000463	microbiome	is linked to	https://uts.nlm.nih.gov/uts/umls/concept/C0004936	DDF
30659564	expert_7	http://purl.obolibrary.org/obo/OHMI_0000463	microbiome	is linked to	http://purl.obolibrary.org/obo/NCIT_C2893	DDF
30659564	expert_7	http://purl.obolibrary.org/obo/OHMI_0000463	microbiome	is linked to	https://uts.nlm.nih.gov/uts/umls/concept/C1510527	DDF


38283894	expert_5	https://www.ncbi.nlm.nih.gov/mesh/D001439	bacteria	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0009932	human
38283894	expert_5	http://purl.obolibrary.org/obo/NCIT_C896	chemical	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0680063	human
38283894	expert_5	http://purl.obolibrary.org/obo/NCIT_C598	chemical	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0680063	human
38283894	expert_5	http://purl.obolibrary.org/obo/NCIT_C896	chemical	located in	https://www.ncbi.nlm.nih.gov/mesh/D000293	human
38283894	expert_5	http://purl.obolibrary.org/obo/NCIT_C896	chemical	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0009932	human
38283894	expert_5	http://purl.obolibrary.org/obo/NCIT_C598	chemical	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0009932	human
38283894	expert_5	http://purl.obolibrary.org/obo/NCIT_C60651	chemical	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0680063	human
38283894	expert_5	http://purl.obolibrary.org/obo/NCBITaxon_1678	bacteria	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0680063	human
38283894	expert_5	http://purl.obolibrary.org/obo/NCIT_C60651	chemical	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0009932	human
38283894	expert_5	http://purl.obolibrary.org/obo/NCBITaxon_1678	bacteria	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0009932	human
38283894	expert_5	http://purl.obolibrary.org/obo/CHEBI_16865	chemical	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0680063	human
38283894	expert_5	http://purl.obolibrary.org/obo/CHEBI_16865	chemical	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0009932	human
38283894	expert_5	http://purl.obolibrary.org/obo/CHEBI_7872	chemical	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0680063	human
38283894	expert_5	https://www.ncbi.nlm.nih.gov/mesh/D003013	bacteria	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0680063	human
38283894	expert_5	http://purl.obolibrary.org/obo/CHEBI_7872	chemical	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0009932	human
38283894	expert_5	http://purl.obolibrary.org/obo/OGMS_0000045	DDF	target	https://uts.nlm.nih.gov/uts/umls/concept/C0680063	human
38283894	expert_5	http://purl.obolibrary.org/obo/NCBITaxon_216851	bacteria	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0680063	human
38283894	expert_5	https://www.ncbi.nlm.nih.gov/mesh/D003013	bacteria	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0009932	human
38283894	expert_5	http://purl.obolibrary.org/obo/NCBITaxon_216851	bacteria	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0009932	human
38283894	expert_5	http://purl.obolibrary.org/obo/OGMS_0000045	DDF	target	https://www.ncbi.nlm.nih.gov/mesh/D000293	human
38283894	expert_5	https://uts.nlm.nih.gov/uts/umls/concept/C0043481	chemical	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0680063	human
38283894	expert_5	https://www.ncbi.nlm.nih.gov/mesh/D001439	bacteria	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0680063	human
38283894	expert_5	https://uts.nlm.nih.gov/uts/umls/concept/C0043481	chemical	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0009932	human


36072680	expert_6	https://uts.nlm.nih.gov/uts/umls/concept/C0022104	DDF	target	https://www.ncbi.nlm.nih.gov/mesh/68010361	human
36072680	expert_6	http://purl.obolibrary.org/obo/OHMI_0000463	microbiome	is linked to	http://purl.obolibrary.org/obo/NCIT_C34632	DDF
36072680	expert_6	https://uts.nlm.nih.gov/uts/umls/concept/C0022104	DDF	is a	https://uts.nlm.nih.gov/uts/umls/concept/C0742986	DDF
36072680	expert_6	http://purl.obolibrary.org/obo/OHMI_0000463	microbiome	is linked to	http://purl.obolibrary.org/obo/NCIT_C35041	DDF


37127945	expert_4	http://purl.obolibrary.org/obo/NCIT_C120352	DDF	change abundance	http://purl.obolibrary.org/obo/NCBITaxon_1578	bacteria
37127945	expert_4	http://purl.obolibrary.org/obo/OMIT_0005141	DDF	target	https://www.ncbi.nlm.nih.gov/mesh/68010361	human
37127945	expert_4	http://purl.obolibrary.org/obo/NCIT_C116921	DDF	target	https://www.ncbi.nlm.nih.gov/mesh/68010361	human
37127945	expert_4	https://uts.nlm.nih.gov/uts/umls/concept/C0525033	dietary supplement	influence	http://purl.obolibrary.org/obo/OMIT_0005141	DDF
37127945	expert_4	https://uts.nlm.nih.gov/uts/umls/concept/C0525033	dietary supplement	influence	http://purl.obolibrary.org/obo/NCIT_C116921	DDF
